FragmentFlowID,FragmentID,Name,FragmentStageID,ReferenceFlowPropertyUUID,NodeTypeID,FlowUUID,DirectionID,Quantity,ParentFragmentFlowID
"69","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","2.512887e-03","61"
"70","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","2a30cb5a-3ed0-4832-b610-bb822586b643","1","6.712327e-01","61"
"71","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","2.904225e-06","61"
"72","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","2.760585e-07","61"
"73","1","Electricity US LCI: Biomass","","93a60a56-a3c8-11da-a746-0800200c9a66","1","45d82417-c241-4614-b7bf-020afd3cc091","2","1.388226e-02","1"
"74","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","6.289304e-12","73"
"75","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","6133d060-4e09-4985-85a0-b87333f2e8b4","1","1.496566e-07","73"
"76","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","0","73"
"77","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","4d78344e-78af-4e18-a146-e88cc0b2934b","1","6.066542e-06","73"
"78","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.097773e-06","73"
"79","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","1.669856e-04","73"
"80","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.523155e-07","73"
"81","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","2.346652e-05","73"
"82","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.358611e-01","73"
"83","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","2.820237e-08","73"
"84","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","2.680750e-09","73"
"85","1","Electricity, at grid","","93a60a56-a3c8-11da-a746-0800200c9a66","1","890a70b7-b677-4e2a-8a1b-7d017e0a10ae","1","1",""
"86","2","Natural gas mix","","93a60a56-a3c8-11da-a746-0800200b9a66","1","cb17f5de-656d-4817-aa77-90c13bef5104","2","1","110"
"87","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.965078e-02","86"
"88","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.867416e-03","86"
"89","2","natural gas, at consumer","","93a60a56-a3c8-11da-a746-0800200c9a66","1","f579de8c-8897-4bdb-9a0a-b36f8b13282e","2","49","110"
"90","2","Natural Gas Supply US LCI","","93a60a56-a3c8-22da-a746-0800200c9a66","1","67be2441-ddb9-462c-8986-edd1469ec410","2","1.360544e+00","110"
"91","2","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.681861e-08","90"
"92","2","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","6133d060-4e09-4985-85a0-b87333f2e8b4","1","3.916662e-04","90"
"93","2","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","3.283834e-05","90"
"94","2","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","4d78344e-78af-4e18-a146-e88cc0b2934b","1","2.637457e-04","90"
"95","2","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","2.872907e-03","90"
"96","2","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","2.294250e-02","90"
"97","2","Electricity from wind power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","8623ad4c-34db-496f-9555-0c93fb949e7b","2","2.921652e-04","90"
"98","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.186893e-03","97"
"99","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.128070e-04","97"
"100","2","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.217718e-03","90"
"101","2","Electricity from geothermal","","93a60a56-a3c8-11da-a746-0800200c9a66","1","90f304ca-05aa-4fa6-9823-a57b95ffa9e9","2","7.330002e-04","90"
"102","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","-4.783886e-07","101"
"103","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","-4.544968e-08","101"
"104","2","Electricity from hydro power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","d3179bcb-ebeb-44cb-bb55-62ca97691ec4","2","1.421752e-02","90"
"105","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2d2e7120-4341-47bf-a987-c57137f7a640","1","7.909370e-04","104"
"106","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","7.518325e-05","104"
"107","2","Electricity from photovoltaic","","93a60a56-a3c8-11da-a746-0800200c9a66","1","d60d18f1-c2e6-4588-b901-3317dc58acd2","2","3.304160e-05","90"
