FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"54","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.989512e-04",""
"55","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","49","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","1.853958e-03",""
"56","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","49","b9283404-c497-4673-9aa7-be1f66823bb2","1","8.373592e-05",""
"57","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","49","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","4.252964e-03",""
"58","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","49","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.043179e+02",""
"59","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","49","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.348453e-06",""
"60","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","49","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.281727e-07",""
"61","1","Electricity US LCI: Nuclear","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","c8192f40-a849-4e26-bb8d-d64030b1fc60","2","1.023266e-01","61"
"62","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","5.418573e-08",""
"63","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","6133d060-4e09-4985-85a0-b87333f2e8b4","1","1.692725e-05",""
"64","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","0",""
"65","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","4d78344e-78af-4e18-a146-e88cc0b2934b","1","1.111957e-06",""
"66","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.130466e-04",""
"67","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","61","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","6.606255e-05",""
"68","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","61","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.568515e-05",""
"69","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","61","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","2.512887e-03",""
"70","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","61","2a30cb5a-3ed0-4832-b610-bb822586b643","1","6.712327e-01",""
