FlowID,Name,CASNumber,FlowTypeID,ReferenceFlowPropertyID
442,"to forest",               ,2,28
443,"US: electricity, production mix US",               ,1,24
444,"UO_EG LERT Bottoms",               ,1,23
445,"CH: process-specific burdens, hazardous waste incineration plant",               ,1,23
446,"Used Oil, for collection",               ,1,23
447,"CH: residual material landfill facility",               ,1,1
448,"bromide",024959-67-9    ,2,23
449,"uranium",007440-61-1    ,2,24
450,"vanadium",007440-62-2    ,2,23
451,"water",007732-18-5    ,2,23
452,"wood;  14.7 MJ/kg",               ,2,24
453,"Lactic acid",000050-21-5    ,2,23
454,"Energy, kinetic (in wind), converted",               ,2,24
455,"Boron trifluoride",007637-07-2    ,2,23
456,"Sodium hydroxide",001310-73-2    ,2,23
457,"Hexaflourosilicates",016961-83-4    ,2,23
458,"Nickel (+II)",014701-22-5    ,2,23
459,"Used oil, improperly disposed",               ,1,23
460,"Occupation, forest, intensive, normal",               ,2,29
461,"Collectable Dry Used Oil",               ,1,12
462,"UO_Hazardous Waste Incineration (25% water)",               ,1,23
463,"Kline PCMO Recoverable",               ,1,30
464,"Transformation, from dump site, slag compartment",               ,2,28
465,"Nickel (+II)",014701-22-5    ,2,23
466,"Mechanical Filtration",               ,2,46
467,"Electricity Displaced",               ,1,13
468,"UO_Transfer to ReRe",               ,1,23
469,"US: Electricity, biomass, at power plant",               ,1,24
470,"Different pollutants",               ,2,23
471,"isopropylamine",000075-31-0    ,2,23
472,"propylamine",000107-10-8    ,2,23
473,"CH: iron (III) chloride, 40% in H2O, at plant",007705-08-0    ,1,23
474,"to traffic area, road network",               ,2,28
475,"Recycled Oil Reprocessed",               ,1,12
476,"Clean gas",               ,2,23
477,"US: Natural gas, combusted in industrial boiler",               ,1,30
478,"UO_Asphalt Flux",               ,1,23
479,"US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill",               ,1,23
480,"Mechanical Filtration",               ,2,2
481,"Methane (biotic)",000074-82-8    ,2,23
482,"nitrate",014797-55-8    ,2,23
483,"uranium-234",013966-29-5    ,2,27
484,"uranium-238",007440-61-1    ,2,27
485,"uranium-238",007440-61-1    ,2,27
486,"vanadium",007440-62-2    ,2,23
487,"vanadium",007440-62-2    ,2,23
488,"vanadium",007440-62-2    ,2,23
489,"vanadium",007440-62-2    ,2,23
490,"vanadium",007440-62-2    ,2,23
491,"vinyl acetate",000108-05-4    ,2,23
492,"bromine",007726-95-6    ,2,23
493,"bromine",007726-95-6    ,2,23
494,"bromine",007726-95-6    ,2,23
495,"bromine",007726-95-6    ,2,23
496,"bromine",007726-95-6    ,2,23
497,"aniline",000062-53-3    ,2,23
498,"total organic carbon",               ,2,23
499,"total organic carbon",               ,2,23
500,"cresol",001319-77-3    ,2,23
501,"cresol",001319-77-3    ,2,23
502,"m-cresol",000108-39-4    ,2,23
503,"chromium III",016065-83-1    ,2,23
504,"chromium III",016065-83-1    ,2,23
505,"chromium VI",018540-29-9    ,2,23
506,"chromium VI",018540-29-9    ,2,23
507,"sulfide",018496-25-8    ,2,23
508,"sulfide",018496-25-8    ,2,23
509,"para-cresol",000106-44-5    ,2,23
510,"acetylene",000074-86-2    ,2,23
511,"feldspar",012168-80-8    ,2,23
512,"lead",007439-92-1    ,2,23
513,"lead",007439-92-1    ,2,23
514,"lead",007439-92-1    ,2,23
515,"lead",007439-92-1    ,2,23
516,"lead-210",014255-04-0    ,2,27
517,"chlorothalonil",001897-45-6    ,2,23
518,"ethane",000074-84-0    ,2,23
519,"hydrogen peroxide",007722-84-1    ,2,23
520,"strontium",007440-24-6    ,2,23
521,"strontium",007440-24-6    ,2,23
522,"strontium",007440-24-6    ,2,23
523,"strontium-89",014158-27-1    ,2,27
524,"strontium-90",010098-97-2    ,2,27
525,"chloride",016887-00-6    ,2,23
526,"zinc oxide",001314-13-2    ,2,23
527,"sulfate",014808-79-8    ,2,23
528,"benzo[g,h,i]perylene",000191-24-2    ,2,23
529,"benzo[k]fluoranthene",000207-08-9    ,2,23
530,"benzo[k]fluoranthene",000207-08-9    ,2,23
531,"benzo[k]fluoranthene",000207-08-9    ,2,23
532,"n-butane",000106-97-8    ,2,23
533,"n-butanol",000071-36-3    ,2,23
534,"n-butanol",000071-36-3    ,2,23
535,"tungsten",007440-33-7    ,2,23
536,"tungsten",007440-33-7    ,2,23
537,"zinc",007440-66-6    ,2,23
538,"barium",007440-39-3    ,2,23
539,"barium-140",014798-08-4    ,2,27
540,"copper",007440-50-8    ,2,23
541,"methacrylic acid",000079-41-4    ,2,23
542,"sulfur trioxide",007446-11-9    ,2,23
543,"sulfite",014265-45-3    ,2,23
544,"antimony-122",014374-79-9    ,2,27
545,"antimony-124",014683-10-4    ,2,27
546,"antimony-124",014683-10-4    ,2,27
547,"barium-140",014798-08-4    ,2,27
548,"basalt",               ,2,23
549,"benomyl",017804-35-2    ,2,23
550,"ethyl acetate",000141-78-6    ,2,23
551,"ethyl acetate",000141-78-6    ,2,23
552,"n-butyl-acetate",000123-86-4    ,2,23
553,"n-butyl-acetate",000123-86-4    ,2,23
554,"ethylenediamine",000107-15-3    ,2,23
555,"ethylenediamine",000107-15-3    ,2,23
556,"sulfate",014808-79-8    ,2,23
557,"lead-210",014255-04-0    ,2,27
558,"curium",007440-51-9    ,2,27
559,"carbetamide",016118-49-3    ,2,23
560,"butadiene",000106-99-0    ,2,23
561,"aldrin",000309-00-2    ,2,23
562,"HFC-245fa",000460-73-1    ,2,23
563,"platinum",007440-06-4    ,2,23
564,"plutonium-238",013981-16-3    ,2,27
565,"aniline",000062-53-3    ,2,23
