ClassificationID,UUID,CategoryID
"298","08a91e70-3ddc-11dd-96d1-0050c2490048","261"
"299","08a91e70-3ddc-11dd-96d1-0050c2490048","262"
"300","08a91e70-3ddc-11dd-96d1-0050c2490048","264"
"301","eed0c15c-8c44-4202-9b2f-d9de33f64b8c","332"
"302","eed0c15c-8c44-4202-9b2f-d9de33f64b8c","355"
"303","eed0c15c-8c44-4202-9b2f-d9de33f64b8c","394"
"304","119e8a79-019a-4a99-84da-c6f700eb1d51","332"
"305","119e8a79-019a-4a99-84da-c6f700eb1d51","355"
"306","119e8a79-019a-4a99-84da-c6f700eb1d51","394"
"307","cfbab3f5-0553-4a4d-baf0-8592d9866ab5","332"
"308","cfbab3f5-0553-4a4d-baf0-8592d9866ab5","401"
"309","cfbab3f5-0553-4a4d-baf0-8592d9866ab5","370"
"310","cfbab3f5-0553-4a4d-baf0-8592d9866ab5","406"
"311","659e3dbc-a46b-47b4-8539-e41a6068d6a8","332"
"312","659e3dbc-a46b-47b4-8539-e41a6068d6a8","401"
"313","659e3dbc-a46b-47b4-8539-e41a6068d6a8","370"
"314","659e3dbc-a46b-47b4-8539-e41a6068d6a8","406"
"315","e2fa8f8e-6555-11dd-ad8b-0800200c9a66","261"
"316","e2fa8f8e-6555-11dd-ad8b-0800200c9a66","262"
"317","e2fa8f8e-6555-11dd-ad8b-0800200c9a66","263"
"318","e2fab6b2-6555-11dd-ad8b-0800200c9a66","261"
"319","e2fab6b2-6555-11dd-ad8b-0800200c9a66","262"
"320","e2fab6b2-6555-11dd-ad8b-0800200c9a66","264"
"321","e2fb04b0-6555-11dd-ad8b-0800200c9a66","261"
"322","e2fb04b0-6555-11dd-ad8b-0800200c9a66","280"
"323","e2fb04b0-6555-11dd-ad8b-0800200c9a66","284"
"324","e2fb2bc2-6555-11dd-ad8b-0800200c9a66","261"
"325","e2fb2bc2-6555-11dd-ad8b-0800200c9a66","262"
"326","e2fb2bc2-6555-11dd-ad8b-0800200c9a66","264"
"327","e2fba107-6555-11dd-ad8b-0800200c9a66","261"
"328","e2fba107-6555-11dd-ad8b-0800200c9a66","262"
"329","e2fba107-6555-11dd-ad8b-0800200c9a66","265"
"330","041f5cea-6556-11dd-ad8b-0800200c9a66","261"
"331","041f5cea-6556-11dd-ad8b-0800200c9a66","262"
"332","041f5cea-6556-11dd-ad8b-0800200c9a66","264"
"333","50bbd817-e2b9-426c-a723-89c158bf135b","332"
"334","50bbd817-e2b9-426c-a723-89c158bf135b","355"
"335","50bbd817-e2b9-426c-a723-89c158bf135b","402"
"336","accc5c57-dc0d-4f6d-b580-1c330334216a","332"
"337","accc5c57-dc0d-4f6d-b580-1c330334216a","355"
"338","accc5c57-dc0d-4f6d-b580-1c330334216a","371"
"339","309b272a-6773-4abe-9a8a-6fb539944d1b","332"
"340","309b272a-6773-4abe-9a8a-6fb539944d1b","401"
"341","309b272a-6773-4abe-9a8a-6fb539944d1b","370"
"342","309b272a-6773-4abe-9a8a-6fb539944d1b","363"
"343","041fab30-6556-11dd-ad8b-0800200c9a66","261"
"344","041fab30-6556-11dd-ad8b-0800200c9a66","262"
"345","041fab30-6556-11dd-ad8b-0800200c9a66","264"
"346","041ff933-6556-11dd-ad8b-0800200c9a66","261"
"347","041ff933-6556-11dd-ad8b-0800200c9a66","262"
"348","041ff933-6556-11dd-ad8b-0800200c9a66","264"
"349","041ff934-6556-11dd-ad8b-0800200c9a66","261"
